[2026-04-21 12:20:09] START | 귀속월: 2026/06
[2026-04-21 23:13:20] START | 귀속월: 2026/06
[2026-05-26 10:25:50] START | 귀속월: 2026/06
[2026-05-26 10:35:40] SUCCESS | 동국제약 주식회사 | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1GdagWo40DxaWilfeMeGF_7flibtSpvnO371EmVPFgS8/edit#gid=1827260056
[2026-05-26 10:36:25] SUCCESS | 주식회사 야다 | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/19QreH2ko4-MJxSAIlfDWQb0D7CY_vZPOjosjKVSnWXA/edit#gid=1084301599
[2026-05-26 10:36:34] SUCCESS | 동화약품(주) | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1W6Eno78tt3DSVZ8d5lhMqjxSg1mICufooAmlCPVZh28/edit#gid=2333086
[2026-05-26 10:36:48] SUCCESS | 주식회사 상경에프앤비 | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1obrOFgHmuI9BnCXPdYbWV9xP2tDItcxzxOrwr24Fd4g/edit#gid=567580819
[2026-05-26 10:36:49] SUCCESS | 주식회사 씨앤씨브라더스 | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1HRNePlP-i5q0YZ7VLI8CkV8VDHQpwncL4cinPxxBJkE/edit#gid=922005181
[2026-05-26 10:37:12] SUCCESS | 종근당건강(주) | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1jgz7YRJETdSp6pPi6ASlc35eV0w_fx9GZiWdWiLJtPY/edit#gid=596208054
[2026-05-26 10:37:31] SUCCESS | PHARMARESEARCH USA, INC | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1QbcFEYY3xCTVUhjJS_6lgl2gvHSQYNC1f55Q5lqJV48/edit#gid=1266058168
[2026-05-26 10:37:55] SUCCESS | 주식회사 바람인터내셔날 | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/11j-9lp0yv8eecvupffmieLmuczoktooYahyDhikVsfM/edit#gid=1357144682
[2026-05-26 10:37:57] SUCCESS | (주)에이치유지 | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1i37q6rMqKlgidkruUzJksRzg62onWBoKpE-ZpIg9_3A/edit#gid=475874728
[2026-05-26 10:38:03] SUCCESS | (주)신세계인터내셔날 | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1p4ubem11TaweSuPjgBy5CN3xC2uvaZBL7xZDLh6WFww/edit#gid=454584524
[2026-05-26 10:38:27] SUCCESS | 주식회사 제네웰 | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1iAG1hYLdLXq8eLkVEdtbPLkBVuWIxCqjT4exZT7rEA8/edit#gid=1890466997
[2026-05-26 10:38:34] SUCCESS | ABLE C&C US INC | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1gzHpPOb4Ms2KM9G_Zu1Ivg5MM3DMF65TqAJEUFvJ5NU/edit#gid=1956010913
[2026-05-26 10:39:21] SUCCESS | 주식회사 올그레이스 | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1tPR4Tr-_jYCDWLEyDGHCe3_nZv83JWG871zqTd3MgD8/edit#gid=1400000331
[2026-05-26 10:39:47] SUCCESS | 주식회사 뉴트리원 | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/17Dex0T8kshkIOWvzVNS_7pXNfO3AaBRMpq12pVAdv8g/edit#gid=1771518132
[2026-05-26 10:40:09] SUCCESS | 주식회사 바임 | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1qtfvZ-ImX-WqSzhj2AdFrEWOuRXBOKa5dV1JtuvzF9c/edit#gid=183831214
[2026-05-26 10:40:26] SUCCESS | 주식회사 남유에프앤씨 | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1veuaVY23TPRMxsYsIAnVM-6eFffmMAXvR5P1wtxr7R4/edit#gid=1625650610
[2026-05-26 10:41:03] SUCCESS | 주식회사 닥터스코스메틱 | 탭: 2026.06 | URL: https://docs.google.com/spreadsheets/d/1iCqO5DZYUjhX0Wjc-Fn8miB_He5HIW9lT93fgK7Bj5U/edit#gid=42620871
[2026-05-26 10:46:30] END | 총 17건 | 성공 17 / 스킵 0 / 실패 0
